Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
2025-11-19 00:00:00-05:00,26.04683344231494,26.32111524676971,26.04683344231494,26.052818298339844,3200,0.0,0.0,LINT
2025-11-20 00:00:00-05:00,28.096470534208496,28.096470534208496,23.804702758789062,23.804702758789062,1300,0.0,0.0,LINT
2025-11-21 00:00:00-05:00,25.030494689941406,25.030494689941406,25.030494689941406,25.030494689941406,200,0.0,0.0,LINT
2025-11-24 00:00:00-05:00,26.14158532691098,27.38832255697816,26.14158532691098,26.93052101135254,3700,0.0,0.0,LINT
2025-11-25 00:00:00-05:00,26.46075097493487,27.184855772117317,26.46075097493487,26.986373901367188,5900,0.0,0.0,LINT
2025-11-26 00:00:00-05:00,27.92791025385595,28.59516463042654,27.92791025385595,28.47248649597168,4200,0.0,0.0,LINT
2025-11-28 00:00:00-05:00,29.44294709707208,34.127685546875,29.44294709707208,34.127685546875,6700,0.0,0.0,LINT
2025-12-01 00:00:00-05:00,32.98368036213189,33.71177445913287,32.74430894092781,33.2619514465332,8000,0.0,0.0,LINT
2025-12-02 00:00:00-05:00,34.70218133724065,39.601362416050236,34.599449552325986,38.971012115478516,29900,0.0,0.0,LINT
2025-12-03 00:00:00-05:00,39.017888978413,39.48067855834961,37.64448428199439,39.48067855834961,30200,0.0,0.0,LINT
2025-12-04 00:00:00-05:00,37.651462724136,38.120237119940036,33.09339191197741,33.53523635864258,21700,0.0,0.0,LINT
2025-12-05 00:00:00-05:00,35.49012290994461,37.28243333767959,35.09914779663086,35.09914779663086,35000,0.0,0.0,LINT
2025-12-08 00:00:00-05:00,35.99579755349904,36.03968142572032,32.016210630557076,33.08541488647461,19400,0.0,0.0,LINT
2025-12-09 00:00:00-05:00,34.0508851598612,34.20049514295497,32.86798010483343,33.59208679199219,21600,0.0,0.0,LINT
2025-12-10 00:00:00-05:00,32.27553404776968,34.16060013245166,31.786813281458425,34.010990142822266,10300,0.0,0.0,LINT
2025-12-11 00:00:00-05:00,32.214691797635545,32.52288715252308,31.380873512979537,31.836681365966797,3600,0.0,0.0,LINT
2025-12-12 00:00:00-05:00,32.365299982789004,32.365299982789004,29.123783111572266,29.123783111572266,4400,0.0,0.0,LINT
2025-12-15 00:00:00-05:00,29.722215498314018,29.722215498314018,28.3557925275611,28.58519172668457,34900,0.0,0.0,LINT
2025-12-16 00:00:00-05:00,28.505399350352643,28.625086958955055,28.22612953186035,28.22612953186035,7100,0.0,0.0,LINT
2025-12-17 00:00:00-05:00,27.6077489179873,27.6077489179873,26.361011715421906,26.420854568481445,11300,0.0,0.0,LINT
2025-12-18 00:00:00-05:00,28.28597429878594,28.28597429878594,25.842368617507635,26.61035919189453,11600,0.0,0.0,LINT
2025-12-19 00:00:00-05:00,28.115420914939403,28.508393509879483,27.448168401360267,27.457143783569336,6400,0.0,0.0,LINT
2025-12-22 00:00:00-05:00,29.093861250022407,29.093861250022407,26.748001098632812,26.748001098632812,16900,0.0,0.0,LINT
2025-12-23 00:00:00-05:00,26.899999618530273,27.0,26.520000457763672,26.65999984741211,12100,0.07,0.0,LINT
2025-12-24 00:00:00-05:00,25.40999984741211,26.549999237060547,25.40999984741211,26.549999237060547,23600,0.0,0.0,LINT
2025-12-26 00:00:00-05:00,26.489999771118164,26.489999771118164,26.075000762939453,26.075000762939453,878,0.0,0.0,LINT
