Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ticker
2025-11-28 00:00:00-05:00,18.464000701904297,18.464000701904297,18.464000701904297,18.464000701904297,100,0.0,0.0,0.0,ORO
2025-12-01 00:00:00-05:00,18.131999969482422,18.131999969482422,18.131999969482422,18.131999969482422,100,0.0,0.0,0.0,ORO
2025-12-02 00:00:00-05:00,18.05500030517578,18.05500030517578,18.05500030517578,18.05500030517578,0,0.0,0.0,0.0,ORO
2025-12-03 00:00:00-05:00,18.20800018310547,18.20800018310547,18.20800018310547,18.20800018310547,100,0.0,0.0,0.0,ORO
2025-12-04 00:00:00-05:00,18.145999908447266,18.145999908447266,18.145999908447266,18.145999908447266,100,0.0,0.0,0.0,ORO
2025-12-05 00:00:00-05:00,18.1200008392334,18.1200008392334,17.89699935913086,17.89699935913086,3000,0.0,0.0,0.0,ORO
2025-12-08 00:00:00-05:00,17.85099983215332,17.85099983215332,17.85099983215332,17.85099983215332,300,0.0,0.0,0.0,ORO
2025-12-09 00:00:00-05:00,18.091999053955078,18.091999053955078,18.091999053955078,18.091999053955078,100,0.0,0.0,0.0,ORO
2025-12-10 00:00:00-05:00,18.075000762939453,18.075000762939453,18.075000762939453,18.075000762939453,100,0.0,0.0,0.0,ORO
2025-12-11 00:00:00-05:00,18.135000228881836,18.135000228881836,18.135000228881836,18.135000228881836,100,0.0,0.0,0.0,ORO
2025-12-12 00:00:00-05:00,18.10099983215332,18.10099983215332,18.10099983215332,18.10099983215332,100,0.0,0.0,0.0,ORO
2025-12-15 00:00:00-05:00,18.104999542236328,18.104999542236328,18.104999542236328,18.104999542236328,100,0.0,0.0,0.0,ORO
2025-12-16 00:00:00-05:00,18.111000061035156,18.111000061035156,18.111000061035156,18.111000061035156,100,0.0,0.0,0.0,ORO
2025-12-17 00:00:00-05:00,18.214000701904297,18.214000701904297,18.214000701904297,18.214000701904297,100,0.0,0.0,0.0,ORO
2025-12-18 00:00:00-05:00,18.191999435424805,18.191999435424805,18.191999435424805,18.191999435424805,100,0.0,0.0,0.0,ORO
2025-12-19 00:00:00-05:00,18.201000213623047,18.201000213623047,18.201000213623047,18.201000213623047,100,0.0,0.0,0.0,ORO
2025-12-22 00:00:00-05:00,18.474000930786133,18.474000930786133,18.474000930786133,18.474000930786133,100,0.0,0.0,0.0,ORO
2025-12-23 00:00:00-05:00,18.610000610351562,18.610000610351562,18.610000610351562,18.610000610351562,0,0.0,0.0,0.0,ORO
2025-12-24 00:00:00-05:00,18.562000274658203,18.562000274658203,18.562000274658203,18.562000274658203,0,0.0,0.0,0.0,ORO
2025-12-26 00:00:00-05:00,17.85110092163086,18.562400817871094,18.562400817871094,18.562400817871094,7,0.0,0.0,0.0,ORO
