Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ticker
2017-07-10 00:00:00-04:00,34.72646713256836,34.72646713256836,34.72646713256836,34.72646713256836,0,0.0,0.0,0.0,SMMD
2017-07-11 00:00:00-04:00,34.72646713256836,34.72646713256836,34.72646713256836,34.72646713256836,0,0.0,0.0,0.0,SMMD
2017-07-12 00:00:00-04:00,34.72646713256836,34.72646713256836,34.72646713256836,34.72646713256836,0,0.0,0.0,0.0,SMMD
2017-07-13 00:00:00-04:00,34.72646713256836,34.72646713256836,34.72646713256836,34.72646713256836,0,0.0,0.0,0.0,SMMD
2017-07-14 00:00:00-04:00,35.225181579589844,35.225181579589844,35.225181579589844,35.225181579589844,100,0.0,0.0,0.0,SMMD
2017-07-17 00:00:00-04:00,35.41765849334536,35.41765849334536,35.189300537109375,35.189300537109375,4500,0.0,0.0,0.0,SMMD
2017-07-18 00:00:00-04:00,35.12893714474318,35.12893714474318,35.04144090602034,35.12018585205078,10100,0.0,0.0,0.0,SMMD
2017-07-19 00:00:00-04:00,35.12018585205078,35.12018585205078,35.12018585205078,35.12018585205078,0,0.0,0.0,0.0,SMMD
2017-07-20 00:00:00-04:00,35.71515053691972,35.71515053691972,35.4351692199707,35.4351692199707,12100,0.0,0.0,0.0,SMMD
2017-07-21 00:00:00-04:00,35.4351692199707,35.4351692199707,35.4351692199707,35.4351692199707,0,0.0,0.0,0.0,SMMD
2017-07-24 00:00:00-04:00,35.3651759195544,35.38267517089844,35.3651759195544,35.38267517089844,600,0.0,0.0,0.0,SMMD
2017-07-25 00:00:00-04:00,35.38267517089844,35.38267517089844,35.38267517089844,35.38267517089844,0,0.0,0.0,0.0,SMMD
2017-07-26 00:00:00-04:00,35.54016961934206,35.54016961934206,35.53142166137695,35.53142166137695,1100,0.0,0.0,0.0,SMMD
2017-07-27 00:00:00-04:00,35.49115753173828,35.49115753173828,35.49115753173828,35.49115753173828,200,0.0,0.0,0.0,SMMD
2017-07-28 00:00:00-04:00,35.19456328590799,35.20769022798049,35.120193969035505,35.1639404296875,1500,0.0,0.0,0.0,SMMD
2017-07-31 00:00:00-04:00,35.1639404296875,35.1639404296875,35.1639404296875,35.1639404296875,100,0.0,0.0,0.0,SMMD
2017-08-01 00:00:00-04:00,35.1639404296875,35.1639404296875,35.1639404296875,35.1639404296875,100,0.0,0.0,0.0,SMMD
2017-08-02 00:00:00-04:00,35.011702637146236,35.011702637146236,34.83146667480469,34.83146667480469,500,0.0,0.0,0.0,SMMD
2017-08-03 00:00:00-04:00,34.848945820108675,34.848945820108675,34.7150764465332,34.7150764465332,1100,0.0,0.0,0.0,SMMD
2017-08-04 00:00:00-04:00,34.7150764465332,34.7150764465332,34.7150764465332,34.7150764465332,0,0.0,0.0,0.0,SMMD
2017-08-07 00:00:00-04:00,34.691471099853516,34.691471099853516,34.691471099853516,34.691471099853516,400,0.0,0.0,0.0,SMMD
2017-08-08 00:00:00-04:00,35.11145310675746,35.11145310675746,34.95921325683594,34.95921325683594,3000,0.0,0.0,0.0,SMMD
2017-08-09 00:00:00-04:00,34.57859985593232,34.6564703466885,34.5777253941185,34.58472442626953,10900,0.0,0.0,0.0,SMMD
2017-08-10 00:00:00-04:00,34.12275355612121,34.150753021240234,34.12275355612121,34.150753021240234,200,0.0,0.0,0.0,SMMD
