Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ticker
2024-04-16 00:00:00-04:00,23.973875045776367,23.973875045776367,23.973875045776367,23.973875045776367,100,0.0,0.0,0.0,NXTI
2024-04-17 00:00:00-04:00,23.937461912955538,23.94704478334651,23.784139642191267,23.864633560180664,1600,0.0,0.0,0.0,NXTI
2024-04-18 00:00:00-04:00,23.947043401813847,23.947043401813847,23.846426010131836,23.846426010131836,300,0.0,0.0,0.0,NXTI
2024-04-19 00:00:00-04:00,23.84163601527144,23.84163601527144,23.747726440429688,23.747726440429688,200,0.0,0.0,0.0,NXTI
2024-04-22 00:00:00-04:00,23.87996482849121,23.87996482849121,23.87996482849121,23.87996482849121,100,0.0,0.0,0.0,NXTI
2024-04-23 00:00:00-04:00,24.144445419311523,24.144445419311523,24.144445419311523,24.144445419311523,100,0.0,0.0,0.0,NXTI
2024-04-24 00:00:00-04:00,24.148282856677586,24.148282856677586,24.140615463256836,24.140615463256836,900,0.0,0.0,0.0,NXTI
2024-04-25 00:00:00-04:00,23.895299911499023,23.895299911499023,23.895299911499023,23.895299911499023,100,0.0,0.0,0.0,NXTI
2024-04-26 00:00:00-04:00,23.97004508972168,23.97004508972168,23.97004508972168,23.97004508972168,100,0.0,0.0,0.0,NXTI
2024-04-29 00:00:00-04:00,23.97004508972168,23.97004508972168,23.97004508972168,23.97004508972168,100,0.0,0.0,0.0,NXTI
2024-04-30 00:00:00-04:00,23.918297723941738,23.927880594954424,23.71323013305664,23.71323013305664,69000,0.0,0.0,0.0,NXTI
2024-05-01 00:00:00-04:00,23.726642764637788,23.726642764637788,23.64518928527832,23.64518928527832,500,0.0,0.0,0.0,NXTI
2024-05-02 00:00:00-04:00,23.781267166137695,23.781267166137695,23.781267166137695,23.781267166137695,100,0.0,0.0,0.0,NXTI
2024-05-03 00:00:00-04:00,23.860796944862358,23.956623805633964,23.860796944862358,23.921167373657227,17900,0.0,0.0,0.0,NXTI
2024-05-06 00:00:00-04:00,24.148283357648577,24.17894744873047,24.148283357648577,24.17894744873047,1000,0.0,0.0,0.0,NXTI
2024-05-07 00:00:00-04:00,24.244105654997238,24.282437135297084,24.230690002441406,24.230690002441406,10500,0.0,0.0,0.0,NXTI
2024-05-08 00:00:00-04:00,24.23740005493164,24.23740005493164,24.23740005493164,24.23740005493164,100,0.0,0.0,0.0,NXTI
