Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ticker
2025-01-14 00:00:00-05:00,27.793319167870912,27.793319167870912,27.199009760613798,27.439411163330078,27100,0.0,0.0,0.0,LFGY
2025-01-15 00:00:00-05:00,28.039608404397413,28.671396587498823,27.87363150299259,28.421894073486328,57900,0.0,0.0,0.0,LFGY
2025-01-16 00:00:00-05:00,28.47329822658435,29.032804513531826,28.074415627029776,28.644630432128906,45600,0.0,0.0,0.0,LFGY
2025-01-17 00:00:00-05:00,29.415612083848547,29.50663342584552,28.928385961224972,29.135591506958008,81800,0.0,0.0,0.0,LFGY
2025-01-21 00:00:00-05:00,29.362076640298746,29.447742719238914,28.473290305379333,29.094369888305664,139400,0.0,0.0,0.0,LFGY
2025-01-22 00:00:00-05:00,28.805246187813758,29.22233294913456,28.41814245208519,28.997995376586914,253300,0.0,0.0,0.0,LFGY
2025-01-23 00:00:00-05:00,28.665190806712705,29.59355161625808,28.583756846983135,28.93121337890625,135700,0.747,0.0,0.0,LFGY
2025-01-24 00:00:00-05:00,29.294967651367188,29.620709829645655,28.828071978871623,29.294967651367188,120100,0.0,0.0,0.0,LFGY
2025-01-27 00:00:00-05:00,27.848128038473774,28.239560336540578,25.624948076480727,26.460472106933594,274200,0.0,0.0,0.0,LFGY
2025-01-28 00:00:00-05:00,26.868203871005672,26.868203871005672,26.26558270138783,26.555492401123047,90300,0.0,0.0,0.0,LFGY
2025-01-29 00:00:00-05:00,27.41108715703146,27.41108715703146,26.355142238278106,26.971336364746094,112500,0.0,0.0,0.0,LFGY
2025-01-30 00:00:00-05:00,27.31171021982079,27.85607583198476,27.267722244756186,27.685617446899414,79300,0.629,0.0,0.0,LFGY
2025-01-31 00:00:00-05:00,27.993544741365767,27.999042452267698,27.13575710886327,27.278722763061523,106200,0.0,0.0,0.0,LFGY
2025-02-03 00:00:00-05:00,26.014035369006425,27.416186466412277,25.863921234072393,27.30621337890625,162400,0.0,0.0,0.0,LFGY
2025-02-04 00:00:00-05:00,27.4546794121543,27.578397836697913,27.190745234915507,27.339208602905273,70300,0.0,0.0,0.0,LFGY
2025-02-05 00:00:00-05:00,27.757092399040157,27.794483530662802,27.034572651180753,27.080760955810547,123100,0.0,0.0,0.0,LFGY
2025-02-06 00:00:00-05:00,27.313584922661178,27.541940661680407,26.685326717130366,26.929277420043945,68500,0.628,0.0,0.0,LFGY
2025-02-07 00:00:00-05:00,27.27458877435599,27.96466783023953,27.01281442886744,27.152055740356445,114700,0.0,0.0,0.0,LFGY
2025-02-10 00:00:00-05:00,27.408262971576494,27.67003735267088,27.332516928621526,27.5642147064209,109700,0.0,0.0,0.0,LFGY
2025-02-11 00:00:00-05:00,27.564211563808016,27.564211563808016,26.73433239422298,26.745471954345703,95400,0.0,0.0,0.0,LFGY
2025-02-12 00:00:00-05:00,26.58952414325414,27.13534987791104,26.400155857789173,27.040664672851562,121100,0.0,0.0,0.0,LFGY
2025-02-13 00:00:00-05:00,27.133083913633,27.634608884705624,26.872740544474734,27.561351776123047,57200,0.564,0.0,0.0,LFGY
2025-02-14 00:00:00-05:00,27.70786585916302,27.73040684030903,27.386664401524406,27.595165252685547,106400,0.0,0.0,0.0,LFGY
2025-02-18 00:00:00-05:00,27.67406195572973,27.67406195572973,26.958401786412836,27.172536849975586,261900,0.0,0.0,0.0,LFGY
2025-02-19 00:00:00-05:00,27.414839656089452,27.414839656089452,26.85132806726645,26.86823272705078,163900,0.0,0.0,0.0,LFGY
2025-02-20 00:00:00-05:00,27.178516328945665,27.178516328945665,26.39139397086216,27.15570068359375,105900,0.574,0.0,0.0,LFGY
2025-02-21 00:00:00-05:00,27.38385230265797,27.403815449620193,25.096637022304158,25.307676315307617,207500,0.0,0.0,0.0,LFGY
2025-02-24 00:00:00-05:00,25.410352926016575,25.578615656580148,24.047149131988,24.30952262878418,171300,0.0,0.0,0.0,LFGY
2025-02-25 00:00:00-05:00,23.39691388969276,23.627346298214825,22.035990607227685,22.735275268554688,200600,0.0,0.0,0.0,LFGY
2025-02-26 00:00:00-05:00,22.70105863852688,23.254326352414672,22.52994556308533,22.95772933959961,93100,0.0,0.0,0.0,LFGY
2025-02-27 00:00:00-05:00,23.685574906889286,23.922603996670844,22.598708790288494,22.610271453857422,66900,0.539,0.0,0.0,LFGY
2025-02-28 00:00:00-05:00,22.459956539801105,23.70291516858748,22.23911476245855,23.30979347229004,76700,0.0,0.0,0.0,LFGY
2025-03-03 00:00:00-05:00,24.425558863303426,24.506495273544477,22.280735170508425,22.79526138305664,113500,0.0,0.0,0.0,LFGY
2025-03-04 00:00:00-05:00,21.928083296941626,23.24619568152088,21.17190340563701,22.725889205932617,90200,0.0,0.0,0.0,LFGY
2025-03-05 00:00:00-05:00,23.321353984705798,23.84744294076061,22.846140296946768,23.835880279541016,68700,0.0,0.0,0.0,LFGY
2025-03-06 00:00:00-05:00,23.388005206845097,23.838224574731345,22.92609156870095,23.183361053466797,74100,0.464,0.0,0.0,LFGY
2025-03-07 00:00:00-05:00,23.130734800025795,23.56048746354887,22.276486652312325,23.235980987548828,56400,0.0,0.0,0.0,LFGY
2025-03-10 00:00:00-04:00,22.575272161232895,22.789273066989768,20.5288217257172,20.938112258911133,108900,0.0,0.0,0.0,LFGY
2025-03-11 00:00:00-04:00,21.411724070752165,22.025658931325452,20.651614137163584,21.80347442626953,62600,0.0,0.0,0.0,LFGY
2025-03-12 00:00:00-04:00,22.218607552206173,22.367122348399313,21.341557254092773,21.94964599609375,74500,0.0,0.0,0.0,LFGY
2025-03-13 00:00:00-04:00,22.148896328776804,22.148896328776804,21.214694163286648,21.220605850219727,45800,0.417,0.0,0.0,LFGY
2025-03-14 00:00:00-04:00,21.545806880013913,22.420883321322023,21.545806880013913,22.338106155395508,48700,0.0,0.0,0.0,LFGY
2025-03-17 00:00:00-04:00,22.196202460655257,22.77800863425828,21.918305763876898,22.62191390991211,56700,0.0,0.0,0.0,LFGY
2025-03-18 00:00:00-04:00,22.47409962153209,22.47409962153209,21.72319111493749,21.776405334472656,40800,0.0,0.0,0.0,LFGY
2025-03-19 00:00:00-04:00,22.160720442212188,22.994408084253102,21.956732296598467,22.734251022338867,60500,0.0,0.0,0.0,LFGY
2025-03-20 00:00:00-04:00,22.62171138473379,22.98686770697708,22.44811210308697,22.64565658569336,40500,0.472,0.0,0.0,LFGY
2025-03-21 00:00:00-04:00,22.346347433141467,22.84319777154439,22.104504567840873,22.74143409729004,60100,0.0,0.0,0.0,LFGY
