"Ticker
","Name
","Fund Type
","Tot Ret Ytd
","Tot Ret 1Y
","Std Dev 6M
"
VEXC US Equity,VANGUARD EMER MARK EX-CH ETF,ETF,7146.317,7146.317,9932.162
EMDM US Equity,FIRST TRUST BBG EMER MKT DEM,ETF,50.599,44.526,15.147
EMCS US Equity,XTRACKERS MSCI EMERGING MARK,ETF,34.411,33.107,15.569
SEEM US Equity,SEI SELECT EM MRKT EQ,ETF,33.886,33.482,14.333
ESGE US Equity,ISHARES INC ISHARES ESG AWAR,ETF,32.939,32.006,14.137
NSI US Equity,NAT SEC EMERG MARK INDEX ETF,ETF,32.215,28.16,13.782
PPEM US Equity,PUTNAM PANAGORA ESG EMER EQ,ETF,32.085,30.765,13.985
EEMX US Equity,SPDR MSCI EM FSL FL RSV FREE,ETF,31.882,30.811,14
EMCR US Equity,XTRACKERS EMERG MARK CARB RE,ETF,31.715,30.867,13.854
AVEM US Equity,AVANTIS EMERGING MARKETS EQ,ETF,31.68,31.169,14.003
KEMX US Equity,KRANESHARES MSCI E-MKT EX-CH,ETF,31.421,28.419,14.222
FLAX US Equity,FRANKLIN FTSE ASIA EX JAPAN,ETF,31.39,30.894,13.325
EEM US Equity,ISHARES MSCI EMERGING MARKET,ETF,31.108,29.82,13.775
ECON US Equity,COLUMBIA RESEARCH ENHANCED E,ETF,30.964,29.263,14.131
LDEM US Equity,ISHARES ESG MSCI EM LEADERS,ETF,30.873,29.589,15.602
JEMA US Equity,JPMORGAN ACTIVEBUILDERS EMER,ETF,30.775,30.595,14.041
GSEE US Equity,GOLDMAN SACHS MARKETBETA EME,ETF,30.545,28.168,13.87
GEM US Equity,GOLDMAN SACHS ACTIVEBETA EM,ETF,30.482,29.971,13.495
EEMA US Equity,ISHARES MSCI EMERG MRKT ASIA,ETF,30.477,29.56,15.043
IEMG US Equity,ISHARES CORE MSCI EMERGING,ETF,29.991,29.059,13.49
AVSE US Equity,AVANTIS RESP EMERG MKTS EQ-E,ETF,29.876,29.714,13.887
PXH US Equity,INVES RAFI EMER MRKT-USD INC,ETF,29.729,29.706,13.038
DFEV US Equity,DIMENSIONAL EMRG MRKT VAL,ETF,29.681,29.042,12.516
AAXJ US Equity,ISHARES MSCI ALL COUNTRY ASI,ETF,29.552,29.184,14.425
ROAM US Equity,HARTFORD MULTIFACT EMRG MRKT,ETF,29.484,29.341,11.007
EMXC US Equity,ISHARES MSCI EMR MRK EX CHNA,ETF,29.328,27.592,13.724
BBEM US Equity,JPMORGAN BETABUILDERS EM EQT,ETF,29.168,27.334,12.87
HEEM US Equity,ISHARES CRNCY HEDGD MSCI EM,ETF,29.125,29.865,12.182
DFAE US Equity,DIMENSIONAL EMERGING CORE EQ,ETF,28.849,28.471,13.243
EMGF US Equity,ISHARES EMERGING MARKETS EQU,ETF,28.833,27.945,13.672
STXE US Equity,STRIVE EM MARKETS EX-CHINA,ETF,28.708,26.121,13.436
BKEM US Equity,BNY MELLON EMRG MRKTS EQTY,ETF,28.306,27.859,13.98
PEMX US Equity,PUTNAM EMR MRKT EX CHINA ETF,ETF,28.302,31.46,14.756
XCEM US Equity,COLUMBIA EM CORE EX-CHINA ET,ETF,27.753,25.911,12.817
DBEM US Equity,XTRACKERS MSCI EMERGING MARK,ETF,27.709,28.813,12.623
ASIA US Equity,MATTHEWS PACIFIC TIGER ETF,ETF,27.601,25.051,15.388
TLTE US Equity,FLEXSHARES MORNINGSTAR EMERG,ETF,27.351,25.748,12.557
AVES US Equity,AVANTIS EMERGING MARKETS VAL,ETF,27.235,25.826,13.208
XSOE US Equity,WISDMTREE EMERG MKT EX-ST OW,ETF,27.196,25.63,13.528
DFEM US Equity,DIMENSIONAL EMRG MRKT CORE,ETF,27.168,27.371,12.896
DIEM US Equity,FRANKLIN EMERGING MARKET COR,ETF,27.068,27.244,12.371
DFSE US Equity,DIMENSIONAL EM SUS CORE1 ETF,ETF,26.89,26.934,13.33
JHEM US Equity,JOHN HANCOCK MULTI EM MRK ET,ETF,26.779,25.16,13.129
CGNG US Equity,CAP GROUP NEW GEOGRAPHY EQ,ETF,26.726,26.501,12.337
EMXF US Equity,ISHARES ESG ADV MSCI EM ETF,ETF,26.08,25.284,12.978
AVXC US Equity,AVANTIS EMG MKT EX CHINA ETF,ETF,26.065,24.411,13.204
MEM US Equity,MATTHEWS EM MKT EQTY ACTIVE,ETF,25.764,24.702,14.203
SCHE US Equity,SCHWAB EMRG MRKTS EQTY ETF,ETF,25.683,25.274,12.72
EMSF US Equity,MATTHEWS EM SUSTAINABLE,ETF,25.439,23.607,17.543
NUEM US Equity,NUVEEN ESG EMERGING MARKETS,ETF,25.121,25.874,13.988
MEMX US Equity,MATTHEWS EM EX CHINA ACTIVE,ETF,24.774,24.791,13.868
RFEM US Equity,FIRST TRUST RIVERFRONT DYNAM,ETF,24.387,26.182,12.536
EMQQ US Equity,EMG MKT INTERNET ETF-USA INC,ETF,24.333,18.761,17.1
FDEM US Equity,FIDELITY EMRG MRKT MULTIFACT,ETF,24.324,25.225,12.366
VWO US Equity,VANGUARD FTSE EMERGING MARKE,ETF,24.24,24.177,12.48
SPEM US Equity,SPDR PORTFOLIO EMERGING MARK,ETF,23.897,23.8,12.444
BKF US Equity,ISHARES MSCI BIC ETF,ETF,23.842,22.78,13.279
RAYE US Equity,RAYLIANT QUANTAMENTAL EMERGI,ETF,23.638,21.877,12.56
EMM US Equity,GBL X EG MT EX-C ETF-USD INC,ETF,22.896,20.95,13.701
DGRE US Equity,WISDOMTREE EMERGING MARKETS,ETF,21.438,20.503,12.479
GMF US Equity,SPDR S&P EMERGING ASIA PACIF,ETF,21.212,22.216,13.009
QLVE US Equity,FLEXSHARES EMERGING MARKETS,ETF,20.762,20.523,10.046
QEMM US Equity,SPDR MSCI EMERGING MARKETS S,ETF,19.857,19.239,10.948
AVEE US Equity,AVANTIS EM MKT SM CAP EQ ETF,ETF,19.056,18.748,12.96
EMMF US Equity,WISDOMTREE EMERGING MARKETS,ETF,18.861,18.814,11.334
OAEM US Equity,ONEASCENT EMRG MARKETS ETF,ETF,18.404,19.15,14.309
EEMS US Equity,ISHARES MSCI EMERGING MKT SM,ETF,18.066,18.648,12.359
EMC US Equity,GLB X EMRG MRKT GRT CNSUMR,ETF,16.196,16.203,13.579
XC US Equity,WISDOMTREE TRUE EMERGING MAR,ETF,15.747,14.781,10.796
RNEM US Equity,EMERGING MARKETS EQTY SELECT,ETF,14.965,13.718,12.099
EWX US Equity,SPDR S&P EMERGING MKTS SMALL,ETF,14.59,15.183,11.745
FMQQ US Equity,FMQQ THE NEXT FRON INT-USD I,ETF,13.577,9.215,14.739
EEMV US Equity,ISHARES MSCI EMG MKT MIN VOL,ETF,12.86,13.445,8.173
MEMS US Equity,MATTHEWS EM DISCOVERY,ETF,12.758,11.874,16.049
EMDV US Equity,PROSHARES MSCI EMERGING MARK,ETF,11.008,7.927,9.137
KHYB US Equity,KRANESHARES ASIA PACIFIC HIG,ETF,8.22,7.131,2.369
PCEM US Equity,POLEN CAP EM MAR EX C GR ETF,ETF,7.708,8.088,13.041
INDH US Equity,WISDOMTREE INDIA HEDG EQ,ETF,6.096,7.457,8.59
NFTY US Equity,FIRST TRUST INDIA NIFTY 50 E,ETF,5.76,3.576,11.111
INDY US Equity,ISHARES INDIA 50 ETF,ETF,5.114,4.168,10.25
NDIA US Equity,GLOBAL X INDIA ACTIVE ETF,ETF,4.899,4.067,11.628
INDE US Equity,MATTHEWS INDIA ETF,ETF,3.983,4.948,12.149
INDA US Equity,ISHARES MSCI INDIA ETF,ETF,3.818,3.829,10.712
FLIN US Equity,FRANKLIN FTSE INDIA ETF,ETF,3.469,3.877,11.087
EPI US Equity,WISDOMTREE INDIA EARNINGS,ETF,2.629,2.356,11.063
PIN US Equity,INVESCO INDIA EXCHANGE-TRADE,ETF,2.484,2.67,11.186
INQQ US Equity,INQQ THE INDIA INTERNET ETF,ETF,-2.053,2.356,14.1
