DATE,GDI
1970-01-01,1047.063
1970-04-01,1061.858
1970-07-01,1079.478
1970-10-01,1083.461
1971-01-01,1121.847
1971-04-01,1143.994
1971-07-01,1165.451
1971-10-01,1190.035
1972-01-01,1225.632
1972-04-01,1249.073
1972-07-01,1281.679
1972-10-01,1331.426
1973-01-01,1370.82
1973-04-01,1399.511
1973-07-01,1431.358
1973-10-01,1475.234
1974-01-01,1491.146
1974-04-01,1520.365
1974-07-01,1556.456
1974-10-01,1583.154
1975-01-01,1600.724
1975-04-01,1637.971
1975-07-01,1700.816
1975-10-01,1746.705
1976-01-01,1801.802
1976-04-01,1831.4
1976-07-01,1869.193
1976-10-01,1908.639
1977-01-01,1960.906
1977-04-01,2035.208
1977-07-01,2097.868
1977-10-01,2155.534
1978-01-01,2199.97
1978-04-01,2309.587
1978-07-01,2365.857
1978-10-01,2437.684
1979-01-01,2501.832
1979-04-01,2550.227
1979-07-01,2609.135
1979-10-01,2668.123
1980-01-01,2722.05
1980-04-01,2741.686
1980-07-01,2823.75
1980-10-01,2964.663
1981-01-01,3064.9
1981-04-01,3127.116
1981-07-01,3231.849
1981-10-01,3253.483
1982-01-01,3272.128
1982-04-01,3326.727
1982-07-01,3360.833
1982-10-01,3380.87
1983-01-01,3442.826
1983-04-01,3526.639
1983-07-01,3613.588
1983-10-01,3725.69
1984-01-01,3866.136
1984-04-01,3962.847
1984-07-01,4040.395
1984-10-01,4115.393
1985-01-01,4191.02
1985-04-01,4248.348
1985-07-01,4325.809
1985-10-01,4374.446
1986-01-01,4439.594
1986-04-01,4468.777
1986-07-01,4515.237
1986-10-01,4575.53
1987-01-01,4652.468
1987-04-01,4759.392
1987-07-01,4865.151
1987-10-01,4969.432
1988-01-01,5068.209
1988-04-01,5176.433
1988-07-01,5285.539
1988-10-01,5404.274
1989-01-01,5493.904
1989-04-01,5542.536
1989-07-01,5606.205
1989-10-01,5652.361
1990-01-01,5767.833
1990-04-01,5864.899
1990-07-01,5910.988
1990-10-01,5927.434
1991-01-01,5973.071
1991-04-01,6034.491
1991-07-01,6098.185
1991-10-01,6155.919
1992-01-01,6284.7
1992-04-01,6375.336
1992-07-01,6427.0
1992-10-01,6532.228
1993-01-01,6546.005
1993-04-01,6664.264
1993-07-01,6717.134
1993-10-01,6885.13
1994-01-01,6956.227
1994-04-01,7098.217
1994-07-01,7205.842
1994-10-01,7331.661
1995-01-01,7401.941
1995-04-01,7480.96
1995-07-01,7610.482
1995-10-01,7696.985
1996-01-01,7820.26
1996-04-01,7967.235
1996-07-01,8066.765
1996-10-01,8210.113
1997-01-01,8349.95
1997-04-01,8474.827
1997-07-01,8648.935
1997-10-01,8795.494
1998-01-01,8894.375
1998-04-01,9046.494
1998-07-01,9210.815
1998-10-01,9325.159
1999-01-01,9486.042
1999-04-01,9567.858
1999-07-01,9695.871
1999-10-01,9892.178
2000-01-01,10156.063
2000-04-01,10287.356
2000-07-01,10442.351
2000-10-01,10501.081
2001-01-01,10679.421
2001-04-01,10732.106
2001-07-01,10718.673
2001-10-01,10664.415
2002-01-01,10826.772
2002-04-01,10967.337
2002-07-01,11051.742
2002-10-01,11197.272
2003-01-01,11245.795
2003-04-01,11377.023
2003-07-01,11565.399
2003-10-01,11734.357
2004-01-01,11916.004
2004-04-01,12148.492
2004-07-01,12376.076
2004-10-01,12540.611
2005-01-01,12750.057
2005-04-01,12964.763
2005-07-01,13180.576
2005-10-01,13489.392
2006-01-01,13795.893
2006-04-01,13973.084
2006-07-01,14125.037
2006-10-01,14207.487
2007-01-01,14341.982
2007-04-01,14511.372
2007-07-01,14465.128
2007-10-01,14529.241
2008-01-01,14574.086
2008-04-01,14617.898
2008-07-01,14711.004
2008-10-01,14411.662
2009-01-01,14162.551
2009-04-01,14188.354
2009-07-01,14263.641
2009-10-01,14530.841
2010-01-01,14652.508
2010-04-01,14865.717
2010-07-01,15136.173
2010-10-01,15263.709
2011-01-01,15358.947
2011-04-01,15573.082
2011-07-01,15700.283
2011-10-01,15863.772
2012-01-01,16274.824
2012-04-01,16379.664
2012-07-01,16329.29
2012-10-01,16646.696
2013-01-01,16711.465
2013-04-01,16848.772
2013-07-01,16946.988
2013-10-01,17134.661
2014-01-01,17313.351
2014-04-01,17652.741
2014-07-01,17928.908
2014-10-01,18101.313
2015-01-01,18212.948
2015-04-01,18381.066
2015-07-01,18460.774
2015-10-01,18497.179
2016-01-01,18592.063
2016-04-01,18630.413
2016-07-01,18800.88
2016-10-01,18984.656
2017-01-01,19237.015
2017-04-01,19405.93
2017-07-01,19601.627
2017-10-01,19932.229
2018-01-01,20204.957
2018-04-01,20470.2
2018-07-01,20760.836
2018-10-01,20936.314
2019-01-01,21211.258
2019-04-01,21369.395
2019-07-01,21557.692
2019-10-01,21793.424
2020-01-01,21753.36
2020-04-01,19785.283
2020-07-01,21278.878
2020-10-01,22201.274
2021-01-01,22666.12
2021-04-01,23341.793
2021-07-01,23960.834
2021-10-01,24782.51
2022-01-01,25355.538
2022-04-01,25911.036
2022-07-01,26428.685
2022-10-01,26524.802
2023-01-01,26980.543
2023-04-01,27229.058
2023-07-01,27615.625
2023-10-01,28117.423
2024-01-01,28468.437
2024-04-01,28861.12
2024-07-01,29117.284
2024-10-01,29560.027
2025-01-01,29895.65
2025-04-01,30244.878
2025-07-01,30707.164
