DATE,UEMP27OV
1970-01-01,143.0
1970-02-01,161.0
1970-03-01,181.0
1970-04-01,202.0
1970-05-01,231.0
1970-06-01,224.0
1970-07-01,234.0
1970-08-01,251.0
1970-09-01,281.0
1970-10-01,259.0
1970-11-01,332.0
1970-12-01,383.0
1971-01-01,430.0
1971-02-01,448.0
1971-03-01,453.0
1971-04-01,454.0
1971-05-01,508.0
1971-06-01,541.0
1971-07-01,567.0
1971-08-01,550.0
1971-09-01,563.0
1971-10-01,591.0
1971-11-01,581.0
1971-12-01,583.0
1972-01-01,593.0
1972-02-01,651.0
1972-03-01,632.0
1972-04-01,673.0
1972-05-01,580.0
1972-06-01,550.0
1972-07-01,519.0
1972-08-01,537.0
1972-09-01,548.0
1972-10-01,522.0
1972-11-01,470.0
1972-12-01,455.0
1973-01-01,410.0
1973-02-01,372.0
1973-03-01,388.0
1973-04-01,340.0
1973-05-01,349.0
1973-06-01,325.0
1973-07-01,282.0
1973-08-01,334.0
1973-09-01,295.0
1973-10-01,336.0
1973-11-01,350.0
1973-12-01,328.0
1974-01-01,332.0
1974-02-01,334.0
1974-03-01,330.0
1974-04-01,354.0
1974-05-01,356.0
1974-06-01,367.0
1974-07-01,387.0
1974-08-01,388.0
1974-09-01,391.0
1974-10-01,398.0
1974-11-01,430.0
1974-12-01,538.0
1975-01-01,625.0
1975-02-01,717.0
1975-03-01,769.0
1975-04-01,964.0
1975-05-01,1089.0
1975-06-01,1305.0
1975-07-01,1401.0
1975-08-01,1472.0
1975-09-01,1598.0
1975-10-01,1448.0
1975-11-01,1645.0
1975-12-01,1586.0
1976-01-01,1581.0
1976-02-01,1533.0
1976-03-01,1460.0
1976-04-01,1409.0
1976-05-01,1219.0
1976-06-01,1353.0
1976-07-01,1250.0
1976-08-01,1280.0
1976-09-01,1204.0
1976-10-01,1231.0
1976-11-01,1278.0
1976-12-01,1334.0
1977-01-01,1211.0
1977-02-01,1205.0
1977-03-01,1163.0
1977-04-01,1120.0
1977-05-01,1069.0
1977-06-01,1026.0
1977-07-01,973.0
1977-08-01,898.0
1977-09-01,939.0
1977-10-01,913.0
1977-11-01,896.0
1977-12-01,858.0
1978-01-01,813.0
1978-02-01,667.0
1978-03-01,714.0
1978-04-01,680.0
1978-05-01,692.0
1978-06-01,640.0
1978-07-01,658.0
1978-08-01,612.0
1978-09-01,624.0
1978-10-01,596.0
1978-11-01,533.0
1978-12-01,510.0
1979-01-01,533.0
1979-02-01,552.0
1979-03-01,592.0
1979-04-01,549.0
1979-05-01,520.0
1979-06-01,521.0
1979-07-01,470.0
1979-08-01,534.0
1979-09-01,532.0
1979-10-01,530.0
1979-11-01,551.0
1979-12-01,544.0
1980-01-01,548.0
1980-02-01,508.0
1980-03-01,622.0
1980-04-01,691.0
1980-05-01,719.0
1980-06-01,773.0
1980-07-01,884.0
1980-08-01,930.0
1980-09-01,966.0
1980-10-01,1060.0
1980-11-01,1133.0
1980-12-01,1147.0
1981-01-01,1263.0
1981-02-01,1245.0
1981-03-01,1217.0
1981-04-01,1132.0
1981-05-01,1149.0
1981-06-01,1123.0
1981-07-01,1086.0
1981-08-01,1164.0
1981-09-01,1114.0
1981-10-01,1134.0
1981-11-01,1143.0
1981-12-01,1171.0
1982-01-01,1186.0
1982-02-01,1279.0
1982-03-01,1358.0
1982-04-01,1501.0
1982-05-01,1617.0
1982-06-01,1784.0
1982-07-01,1816.0
1982-08-01,1866.0
1982-09-01,2018.0
1982-10-01,2246.0
1982-11-01,2338.0
1982-12-01,2564.0
1983-01-01,2667.0
1983-02-01,2716.0
1983-03-01,2746.0
1983-04-01,2710.0
1983-05-01,2750.0
1983-06-01,2885.0
1983-07-01,2594.0
1983-08-01,2530.0
1983-09-01,2441.0
1983-10-01,2277.0
1983-11-01,2167.0
1983-12-01,2061.0
1984-01-01,2040.0
1984-02-01,1834.0
1984-03-01,1780.0
1984-04-01,1764.0
1984-05-01,1691.0
1984-06-01,1576.0
1984-07-01,1590.0
