DATE,NROU
1970-01-01,5.890298367000001
1970-04-01,5.9041
1970-07-01,5.918292
1970-10-01,5.932861
1971-01-01,5.947782
1971-04-01,5.9630160000000005
1971-07-01,5.978505611
1971-10-01,5.994177
1972-01-01,6.00994
1972-04-01,6.025690556
1972-07-01,6.041316999999999
1972-10-01,6.056706
1973-01-01,6.071745396
1973-04-01,6.086335
1973-07-01,6.10038662
1973-10-01,6.113830566
1974-01-01,6.126616478
1974-04-01,6.138715
1974-07-01,6.150114536
1974-10-01,6.16081953
1975-01-01,6.170844000000001
1975-04-01,6.180209
1975-07-01,6.188934
1975-10-01,6.197032452
1976-01-01,6.204509
1976-04-01,6.211358000000001
1976-07-01,6.217563
1976-10-01,6.2230989999999995
1977-01-01,6.227931
1977-04-01,6.232016562999999
1977-07-01,6.235309
1977-10-01,6.237757
1978-01-01,6.239311
1978-04-01,6.239927
1978-07-01,6.239574432
1978-10-01,6.23823452
1979-01-01,6.235909462
1979-04-01,6.232616999999999
1979-07-01,6.228393555
1979-10-01,6.22329
1980-01-01,6.216386693
1980-04-01,6.209639096
1980-07-01,6.202295381
1980-10-01,6.194459177000001
1981-01-01,6.186199247
1981-04-01,6.177583755
1981-07-01,6.168682747999999
1981-10-01,6.159570815
1982-01-01,6.15031772
1982-04-01,6.140985575
1982-07-01,6.131626467
1982-10-01,6.122280081
1983-01-01,6.112972149
1983-04-01,6.103713742
1983-07-01,6.094500727000001
1983-10-01,6.085315125
1984-01-01,6.076126863
1984-04-01,6.066897495
1984-07-01,6.05758316
1984-10-01,6.048103301
1985-01-01,6.038255645
1985-04-01,6.027629935
1985-07-01,6.015642463
1985-10-01,6.001796688
1986-01-01,5.986452754
1986-04-01,5.970679115
1986-07-01,5.954709899
1986-10-01,5.938738139
1987-01-01,5.922884423999999
1987-04-01,5.907211018
1987-07-01,5.891741415
1987-10-01,5.876474831
1988-01-01,5.861392516
1988-04-01,5.846462756
1988-07-01,5.831644473
1988-10-01,5.81688998
1989-01-01,5.802147245
1989-04-01,5.787361875
