DATE,AHEMAN
1970-01-01,3.17
1970-02-01,3.17
1970-03-01,3.19
1970-04-01,3.2
1970-05-01,3.22
1970-06-01,3.23
1970-07-01,3.25
1970-08-01,3.24
1970-09-01,3.3
1970-10-01,3.25
1970-11-01,3.26
1970-12-01,3.35
1971-01-01,3.38
1971-02-01,3.39
1971-03-01,3.39
1971-04-01,3.42
1971-05-01,3.43
1971-06-01,3.45
1971-07-01,3.45
1971-08-01,3.45
1971-09-01,3.49
1971-10-01,3.49
1971-11-01,3.49
1971-12-01,3.58
1972-01-01,3.6
1972-02-01,3.61
1972-03-01,3.63
1972-04-01,3.66
1972-05-01,3.67
1972-06-01,3.68
1972-07-01,3.68
1972-08-01,3.7
1972-09-01,3.76
1972-10-01,3.77
1972-11-01,3.79
1972-12-01,3.86
1973-01-01,3.88
1973-02-01,3.87
1973-03-01,3.88
1973-04-01,3.91
1973-05-01,3.93
1973-06-01,3.95
1973-07-01,3.97
1973-08-01,3.97
1973-09-01,4.04
1973-10-01,4.04
1973-11-01,4.07
1973-12-01,4.12
1974-01-01,4.12
1974-02-01,4.12
1974-03-01,4.15
1974-04-01,4.16
1974-05-01,4.24
1974-06-01,4.29
1974-07-01,4.32
1974-08-01,4.35
1974-09-01,4.43
1974-10-01,4.47
1974-11-01,4.49
1974-12-01,4.56
1975-01-01,4.56
1975-02-01,4.58
1975-03-01,4.62
1975-04-01,4.62
1975-05-01,4.64
1975-06-01,4.67
1975-07-01,4.7
1975-08-01,4.72
1975-09-01,4.79
1975-10-01,4.8
1975-11-01,4.83
1975-12-01,4.9
1976-01-01,4.92
1976-02-01,4.94
1976-03-01,4.97
1976-04-01,4.98
1976-05-01,5.03
1976-06-01,5.06
1976-07-01,5.1
1976-08-01,5.13
1976-09-01,5.22
1976-10-01,5.2
1976-11-01,5.25
1976-12-01,5.34
1977-01-01,5.37
1977-02-01,5.36
1977-03-01,5.4
1977-04-01,5.44
1977-05-01,5.48
1977-06-01,5.53
1977-07-01,5.57
1977-08-01,5.57
1977-09-01,5.67
1977-10-01,5.69
1977-11-01,5.73
1977-12-01,5.8
1978-01-01,5.85
1978-02-01,5.86
1978-03-01,5.88
1978-04-01,5.92
1978-05-01,5.95
1978-06-01,5.99
1978-07-01,6.06
1978-08-01,6.04
1978-09-01,6.16
1978-10-01,6.21
1978-11-01,6.27
1978-12-01,6.36
1979-01-01,6.38
1979-02-01,6.41
1979-03-01,6.45
1979-04-01,6.43
1979-05-01,6.51
1979-06-01,6.54
1979-07-01,6.59
1979-08-01,6.57
1979-09-01,6.68
1979-10-01,6.7
1979-11-01,6.75
1979-12-01,6.85
1980-01-01,6.84
1980-02-01,6.88
1980-03-01,6.94
1980-04-01,6.97
1980-05-01,7.01
1980-06-01,7.08
1980-07-01,7.16
1980-08-01,7.18
1980-09-01,7.3
1980-10-01,7.37
1980-11-01,7.47
1980-12-01,7.58
1981-01-01,7.61
1981-02-01,7.62
1981-03-01,7.68
1981-04-01,7.76
